date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:27	43348/43348	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Jul%202021%2008:21:28%20GMT	https://www.varbin.com/	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/index.html	(from )
13:51:28	278/278	---M--	200	added ('OK')	text/plain	etag:%22116-5b389a746dbc5%22	https://www.varbin.com/robots.txt		(from )
13:51:28	444/444	---M--	200	added ('OK')	text/html	etag:%221bc-5b39228f37dbb%22	https://www.varbin.com/manifest.webmanifest	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/manifest.html	(from https://www.varbin.com/)
13:51:29	254/254	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:30%20GMT	https://varbin.com/assets/images/logof.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/images/logof.1.delayed	(from https://www.varbin.com/)
13:51:29	4500/4500	---M--	200	added ('OK')	image/png	etag:%221194-5b389067742af%22	https://www.varbin.com/assets/images/logof.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/images/logof.png	(from https://www.varbin.com/)
13:51:29	256/256	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:30%20GMT	https://varbin.com/assets/images/logo192.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/images/logo192.png	(from https://www.varbin.com/)
13:51:30	16072/16072	---M--	200	added ('OK')	image/png	etag:%223ec8-5b3920fc9a454%22	https://www.varbin.com/assets/images/logo192.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/images/logo192.png	(from https://www.varbin.com/)
13:51:30	281/281	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:31%20GMT	https://varbin.com/assets/theme/rs-plugin/css/settings.css	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/rs-plugin/css/settings.css	(from https://www.varbin.com/)
13:51:30	275/275	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:31%20GMT	https://varbin.com/assets/theme/css/ionicons.min.css	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/css/ionicons.min.css	(from https://www.varbin.com/)
13:51:30	265/265	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:31%20GMT	https://varbin.com/assets/theme/css/bootstrap.min.css	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/css/bootstrap.min.css	(from https://www.varbin.com/)
13:51:31	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:32%20GMT	https://varbin.com/assets/theme/css/plugin.min.css	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/css/plugin.min.css	(from https://www.varbin.com/)
13:51:31	279/279	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:32%20GMT	https://varbin.com/assets/theme/font-awesome/5.11.2/css/all.min.css	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/font-awesome/5.11.2/css/all.min.css	(from https://www.varbin.com/)
13:51:32	159537/159537	---M--	200	added ('OK')	text/css	etag:%2226f31-5b387ffae4ee9%22	https://www.varbin.com/assets/theme/css/bootstrap.min.css	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/css/bootstrap.min.css	(from https://www.varbin.com/)
13:51:32	81109/81109	---M--	200	added ('OK')	text/css	etag:%2213cd5-5b387ffae52d1%22	https://www.varbin.com/assets/theme/css/plugin.min.css	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/css/plugin.min.css	(from https://www.varbin.com/)
13:51:32	257/257	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:33%20GMT	https://varbin.com/assets/theme/css/style.css	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/css/style.css	(from https://www.varbin.com/)
13:51:32	57850/57850	---M--	200	added ('OK')	text/css	etag:%22e1fa-5b387ffae5aa1%22	https://www.varbin.com/assets/theme/font-awesome/5.11.2/css/all.min.css	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/font-awesome/5.11.2/css/all.min.css	(from https://www.varbin.com/)
13:51:32	107270/107270	---M--	200	added ('OK')	text/css	etag:%221a306-5b387ffae56b9%22	https://www.varbin.com/assets/theme/css/style.css	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/css/style.css	(from https://www.varbin.com/)
13:51:32	258/258	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:33%20GMT	https://varbin.com/assets/theme/css/custom.css	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/css/custom.css	(from https://www.varbin.com/)
13:51:33	169/169	---M--	200	added ('OK')	text/css	etag:%22a9-5b389bd74cb94%22	https://www.varbin.com/assets/theme/css/custom.css	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/css/custom.css	(from https://www.varbin.com/)
13:51:33	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:34%20GMT	https://varbin.com/assets/theme/css/responsive.css	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/css/responsive.css	(from https://www.varbin.com/)
13:51:33	10918/10918	---M--	200	added ('OK')	text/css	etag:%222aa6-5b387ffae52d1%22	https://www.varbin.com/assets/theme/css/responsive.css	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/css/responsive.css	(from https://www.varbin.com/)
13:51:33	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:34%20GMT	https://varbin.com/assets/theme/images/logo.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/logo.png	(from https://www.varbin.com/)
13:51:34	23207/23207	---M--	200	added ('OK')	image/png	etag:%225aa7-5b38906774a7f%22	https://www.varbin.com/assets/theme/images/logo.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/logo.png	(from https://www.varbin.com/)
13:51:34	265/265	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:35%20GMT	https://varbin.com/assets/theme/images/white-logo.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/white-logo.png	(from https://www.varbin.com/)
13:51:34	22885/22885	---M--	200	added ('OK')	image/png	etag:%225965-5b389067788ff%22	https://www.varbin.com/assets/theme/images/white-logo.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/white-logo.png	(from https://www.varbin.com/)
13:51:34	280/280	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:35%20GMT	https://varbin.com/assets/theme/images/service/mob-service-item3.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/service/mob-service-item3.png	(from https://www.varbin.com/)
13:51:35	15258/15258	---M--	200	added ('OK')	image/png	etag:%223b9a-5b387ffb0eae0%22	https://www.varbin.com/assets/theme/images/service/mob-service-item3.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/service/mob-service-item3.png	(from https://www.varbin.com/)
13:51:35	274/274	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:36%20GMT	https://varbin.com/assets/theme/images/service/app-develop.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/service/app-develop.png	(from https://www.varbin.com/)
13:51:35	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:36%20GMT	https://varbin.com/assets/theme/images/service/service-img-2.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/service/service-img-2.png	(from https://www.varbin.com/)
13:51:35	51639/51639	---M--	200	added ('OK')	image/png	etag:%22c9b7-5b387ffb0b818%22	https://www.varbin.com/assets/theme/images/service/app-develop.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/service/app-develop.png	(from https://www.varbin.com/)
13:51:36	17346/17346	---M--	200	added ('OK')	image/png	etag:%2243c2-5b387ffb0f2b0%22	https://www.varbin.com/assets/theme/images/service/service-img-2.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/service/service-img-2.png	(from https://www.varbin.com/)
13:51:36	273/273	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:37%20GMT	https://varbin.com/assets/theme/images/service/car-rental.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/service/car-rental.png	(from https://www.varbin.com/)
13:51:36	88033/88033	---M--	200	added ('OK')	image/png	etag:%22157e1-5b387ffb0c3d0%22	https://www.varbin.com/assets/theme/images/service/car-rental.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/service/car-rental.png	(from https://www.varbin.com/)
13:51:36	272/272	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:37%20GMT	https://varbin.com/assets/theme/images/service/marketing.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/service/marketing.png	(from https://www.varbin.com/)
13:51:37	266/266	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:38%20GMT	https://varbin.com/assets/theme/images/service/seo.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/service/seo.png	(from https://www.varbin.com/)
13:51:37	66393/66393	---M--	200	added ('OK')	image/png	etag:%2210359-5b387ffb0e6f8%22	https://www.varbin.com/assets/theme/images/service/marketing.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/service/marketing.png	(from https://www.varbin.com/)
13:51:37	14241/14241	---M--	200	added ('OK')	image/png	etag:%2237a1-5b387ffb0f2b0%22	https://www.varbin.com/assets/theme/images/service/seo.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/service/seo.png	(from https://www.varbin.com/)
13:51:37	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:38%20GMT	https://varbin.com/assets/theme/images/icons/icon-1.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/icons/icon-1.png	(from https://www.varbin.com/)
13:51:37	1405/1405	---M--	200	added ('OK')	image/png	etag:%2257d-5b387ffb05e40%22	https://www.varbin.com/assets/theme/images/icons/icon-1.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/icons/icon-1.png	(from https://www.varbin.com/)
13:51:37	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:38%20GMT	https://varbin.com/assets/theme/images/icons/icon-2.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/icons/icon-2.png	(from https://www.varbin.com/)
13:51:38	990/990	---M--	200	added ('OK')	image/png	etag:%223de-5b387ffb05e40%22	https://www.varbin.com/assets/theme/images/icons/icon-2.png	C:/My%20Web%20Sites/Cristian%20app%20developer/www.varbin.com/assets/theme/images/icons/icon-2.png	(from https://www.varbin.com/)
13:51:38	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2008:21:39%20GMT	https://varbin.com/assets/theme/images/icons/icon-3.png	C:/My%20Web%20Sites/Cristian%20app%20developer/varbin.com/assets/theme/images/icons/icon-3.png	(from https://www.varbin.com/)
